,Education_level,Full_time_job,Living area,Age,Gender,Children,Age_group,Question_basicincome_awareness,Question_basicincome_vote,Question_basicincome_effect,Question_basicincome_argumentsfor,Question_basicincome_argumentsagainst,Job_title,Country,Country_code
28,medium,no,rural,1988,female,yES,26_39,I know something about it,I would probably vote against it,‰Û_ gain additional skills,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | It might encourage people to stop working | Only the people who need it most should get something from the state | It increases dependence on the state,,Austria,AT
29,,yes,Country,40 years old,Male,yES,40_65,I have never heard of it,I would vote for it,‰Û_ work less,None of the above,None of the above,automatic data processing customer liaison adp customer liaison,Austria,AT
30,low,no,rural,1999,male,NO,juvenile,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit,,Austria,AT
31,high,yes,urban,35 years old,female,nO,26_39,I know something about it,I would probably vote against it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It might encourage people to stop working | It increases dependence on the state | It is impossible to finance,data entry representative,Austria,AT
32,medium,no,city,1991,Male,NO,14_25,I know something about it,I would probably vote against it,‰Û_ spend more time with my family,None of the above,It might encourage people to stop working,,Austria,AT
33,high,yes,city,42 years old,Male,NO,40_65,I understand it fully,I would probably vote for it,A basic income would not affect my work choices,"It reduces bureaucracy and administrative expenses | It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering | It encourages financial independence and self-responsibility | It creates more equality of opportunity",It increases dependence on the state,computer or data processing systems consultant,Austria,AT
34,low,yes,countryside,37 years old,male,YES,26_39,I have heard just a little about it,I would probably vote against it,‰Û_ do more volunteering work,It reduces bureaucracy and administrative expenses,Foreigners might come to my country and take advantage of the benefit,geographic information systems database administrator gis database administrator,Austria,AT
35,medium,yes,countryside,1994,female,nO,14_25,I have heard just a little about it,I would probably vote against it,‰Û_ work less,None of the above,None of the above,data processing auditor,Austria,AT
36,high,yes,Non-Rural,45 years old,female,nO,40_65,I know something about it,I would probably vote for it,‰Û_ do more volunteering work,It reduces anxiety about financing basic needs,It increases dependence on the state,maintenance data analyst,Austria,AT
37,low,no,rural,31 years old,male,NO,26_39,I have heard just a little about it,I would vote against it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It is impossible to finance | It increases dependence on the state,,Austria,AT
38,low,yes,countryside,47 years old,male,YES,40_65,I understand it fully,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It is against the principle of linking merit and reward,automatic data processing systems security specialist adp systems security,Austria,AT
39,high,no,urban,33 years old,male,yES,26_39,I know something about it,I would probably vote for it,‰Û_ gain additional skills,"It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering | It reduces bureaucracy and administrative expenses",Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | It might encourage people to stop working | It increases dependence on the state | It is against the principle of linking merit and reward,,Austria,AT
40,low,no,rural,64 years old,female,yES,40_65,I have heard just a little about it,I would probably vote against it,None of the above,None of the above,It is impossible to finance | It might encourage people to stop working | Only the people who need it most should get something from the state,,Austria,AT
41,medium,no,city,1990,Male,NO,26_39,I have heard just a little about it,I would probably vote against it,‰Û_ gain additional skills,It reduces anxiety about financing basic needs,It is against the principle of linking merit and reward | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit,,Austria,AT
42,low,yes,Country,38 years old,female,nO,26_39,I have never heard of it,I would not vote,None of the above,None of the above,None of the above,database engineer,Austria,AT
43,high,no,rural,35 years old,Fem,yES,26_39,I have heard just a little about it,I would probably vote for it,‰Û_ spend more time with my family,It reduces anxiety about financing basic needs,It increases dependence on the state,,Austria,AT
44,high,yes,urban,55 years old,male,nO,40_65,I know something about it,I would vote against it,‰Û_ work less,It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state | It might encourage people to stop working | It is impossible to finance | Only the people who need it most should get something from the state | It is against the principle of linking merit and reward,data processing systems project planner,Austria,AT
45,low,no,rural,41 years old,Male,nO,40_65,I know something about it,I would not vote,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It is against the principle of linking merit and reward,,Austria,AT
46,high,yes,urban,1990,male,nO,26_39,I know something about it,I would probably vote for it,‰Û_ gain additional skills,It reduces anxiety about financing basic needs | It creates more equality of opportunity,It increases dependence on the state | It might encourage people to stop working,database administration associate,Austria,AT
47,high,yes,Country,48 years old,FeMale,NO,40_65,I understand it fully,I would vote for it,A basic income would not affect my work choices,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It creates more equality of opportunity | It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering",None of the above,automatic data processing planner,Austria,AT
48,medium,yes,urban,40 years old,male,yES,40_65,I understand it fully,I would vote against it,None of the above,None of the above,It is against the principle of linking merit and reward | Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It is impossible to finance | Only the people who need it most should get something from the state | It increases dependence on the state,data warehousing engineer,Austria,AT
49,medium,no,city,64 years old,male,YES,40_65,I understand it fully,I would probably vote for it,‰Û_ work less,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases appreciation for household work and volunteering | It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses",It is against the principle of linking merit and reward | It might encourage people to stop working | It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit,,Austria,AT
50,high,no,urban,1992,male,nO,juvenile,I have heard just a little about it,I would vote against it,A basic income would not affect my work choices,It increases appreciation for household work and volunteering,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state,,Austria,AT
51,low,no,Country,2001,FeMale,nO,14_25,I have heard just a little about it,I would probably vote for it,‰Û_ spend more time with my family,It creates more equality of opportunity | It reduces anxiety about financing basic needs,It is impossible to finance | It might encourage people to stop working,,Austria,AT
52,,yes,Country,49 years old,Male,yES,40_65,I know something about it,I would probably vote for it,‰Û_ spend more time with my family,It encourages financial independence and self-responsibility,It is impossible to finance,data warehouse developer,Austria,AT
53,low,yes,rural,1993,male,NO,14_25,I understand it fully,I would vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit,database software technician,Austria,AT
54,medium,no,urban,36 years old,male,nO,26_39,I know something about it,I would vote for it,A basic income would not affect my work choices,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state,,Austria,AT
55,,no,rural,46 years old,Fem,YES,40_65,I know something about it,I would probably vote for it,None of the above,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state,,Austria,AT
56,low,no,rural,1989,male,NO,26_39,I understand it fully,I would vote for it,‰Û_ work less,It creates more equality of opportunity,It might encourage people to stop working,,Austria,AT
57,,no,urban,1990,Male,NO,26_39,I have heard just a little about it,I would vote for it,‰Û_ do more volunteering work,It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases appreciation for household work and volunteering,It might encourage people to stop working,,Austria,AT
58,medium,yes,rural,1998,male,NO,14_25,I have heard just a little about it,I would vote against it,‰Û_ look for a different job,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit,database engineer,Austria,AT
59,low,yes,urban,1988,Fem,nO,26_39,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,"It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit | It is impossible to finance,data warehousing engineer,Austria,AT
60,high,no,rural,35 years old,FeMale,yES,26_39,I have heard just a little about it,I would probably vote against it,A basic income would not affect my work choices,None of the above,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward,,Austria,AT
61,low,yes,Country,44 years old,female,yES,40_65,I have never heard of it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It is impossible to finance | It might encourage people to stop working,data warehousing engineer,Austria,AT
62,low,yes,Country,1991,FeMale,nO,14_25,I know something about it,I would probably vote against it,‰Û_ spend more time with my family,It reduces anxiety about financing basic needs,It is impossible to finance | It is against the principle of linking merit and reward | It might encourage people to stop working | Only the people who need it most should get something from the state,data processing auditor,Austria,AT
63,,no,city,2001,male,nO,14_25,I have never heard of it,I would not vote,None of the above,None of the above,None of the above,,Austria,AT
64,low,no,Non-Rural,1996,Male,nO,juvenile,I know something about it,I would vote for it,‰Û_ gain additional skills,It reduces anxiety about financing basic needs,It might encourage people to stop working,,Austria,AT
65,no,no,city,47 years old,FeMale,YES,40_65,I have never heard of it,I would probably vote for it,A basic income would not affect my work choices,"It increases solidarity, because it is funded by everyone | It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs",Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state | It is impossible to finance,,Austria,AT
66,medium,no,Non-Rural,1991,female,NO,juvenile,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It creates more equality of opportunity | It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs,It is against the principle of linking merit and reward | It might encourage people to stop working | It increases dependence on the state | It is impossible to finance,,Austria,AT
67,high,yes,rural,65 years old,Fem,YES,40_65,I understand it fully,I would probably vote for it,‰Û_ do more volunteering work,"It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering | It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs",Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | It is impossible to finance | Only the people who need it most should get something from the state,computer or data processing systems consultant,Austria,AT
68,medium,yes,rural,46 years old,male,YES,40_65,I know something about it,I would vote against it,None of the above,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | It might encourage people to stop working,data coordinator,Austria,AT
69,low,no,city,1999,male,NO,14_25,I have heard just a little about it,I would probably vote against it,A basic income would not affect my work choices,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",It is against the principle of linking merit and reward,,Austria,AT
70,medium,yes,city,1995,Male,NO,14_25,I understand it fully,I would vote for it,‰Û_ work as a freelancer,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering,Only the people who need it most should get something from the state,data officer,Austria,AT
71,low,yes,urban,52 years old,male,YES,40_65,I know something about it,I would vote for it,‰Û_ look for a different job,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit,data keyer,Austria,AT
72,high,yes,urban,1990,male,NO,26_39,I understand it fully,I would probably vote for it,‰Û_ do more volunteering work,It reduces bureaucracy and administrative expenses | It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state | It might encourage people to stop working,geographic information systems data specialist gis data specialist,Austria,AT
73,low,no,Non-Rural,2002,male,NO,juvenile,I have never heard of it,I would not vote,None of the above,None of the above,None of the above,,Austria,AT
74,medium,no,city,1996,female,NO,juvenile,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering | It creates more equality of opportunity,It might encourage people to stop working | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state,,Austria,AT
75,no,yes,Non-Rural,1989,Male,YES,26_39,I know something about it,I would probably vote for it,None of the above,None of the above,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | Only the people who need it most should get something from the state | It is impossible to finance | It is against the principle of linking merit and reward,database administration manager,Austria,AT
76,medium,yes,urban,50 years old,male,YES,40_65,I have heard just a little about it,I would probably vote against it,‰Û_ work less,None of the above,Only the people who need it most should get something from the state | It might encourage people to stop working | It is against the principle of linking merit and reward,database security expert,Austria,AT
77,,no,urban,1996,male,nO,14_25,I understand it fully,I would vote for it,‰Û_ look for a different job,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit,,Austria,AT
78,low,yes,Non-Rural,34 years old,FeMale,yES,26_39,I have never heard of it,I would not vote,None of the above,None of the above,None of the above,data systems manager,Austria,AT
79,high,no,urban,1997,FeMale,NO,juvenile,I have heard just a little about it,I would probably vote against it,‰Û_ do more volunteering work,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is impossible to finance | Only the people who need it most should get something from the state,,Austria,AT
80,high,no,Country,1998,FeMale,NO,14_25,I have heard just a little about it,I would probably vote against it,‰Û_ look for a different job,"It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit,,Austria,AT
81,low,no,rural,38 years old,Fem,yES,26_39,I have heard just a little about it,I would probably vote against it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is against the principle of linking merit and reward | Foreigners might come to my country and take advantage of the benefit,,Austria,AT
82,medium,yes,urban,1988,FeMale,yES,26_39,I know something about it,I would probably vote for it,‰Û_ spend more time with my family,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It increases dependence on the state | It is against the principle of linking merit and reward,data warehousing manager,Austria,AT
83,high,no,urban,1990,Fem,NO,26_39,I have heard just a little about it,I would probably vote for it,‰Û_ spend more time with my family,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It is impossible to finance | It might encourage people to stop working | It increases dependence on the state,,Austria,AT
84,low,yes,rural,46 years old,male,yES,40_65,I know something about it,I would probably vote for it,A basic income would not affect my work choices,"It encourages financial independence and self-responsibility | It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",It might encourage people to stop working | It is against the principle of linking merit and reward | Foreigners might come to my country and take advantage of the benefit,geographic information systems data administrator gis data administrator,Austria,AT
85,low,yes,Non-Rural,41 years old,Male,nO,40_65,I know something about it,I would probably vote against it,‰Û_ spend more time with my family,"It increases solidarity, because it is funded by everyone",It increases dependence on the state,data base design analyst,Austria,AT
86,no,yes,countryside,43 years old,male,yES,40_65,I know something about it,I would vote for it,‰Û_ gain additional skills,It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs,It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state,director of data operations,Austria,AT
87,low,no,countryside,1990,female,yES,26_39,I understand it fully,I would vote for it,‰Û_ look for a different job,It creates more equality of opportunity,Only the people who need it most should get something from the state,,Austria,AT
88,high,yes,Non-Rural,1987,Fem,YES,26_39,I understand it fully,I would not vote,‰Û_ gain additional skills,It creates more equality of opportunity | It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state,database modeler,Austria,AT
89,low,no,rural,1999,male,nO,juvenile,I understand it fully,I would vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is against the principle of linking merit and reward | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state,,Austria,AT
90,medium,no,urban,1993,FeMale,yES,14_25,I have never heard of it,I would vote for it,A basic income would not affect my work choices,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It is impossible to finance | It might encourage people to stop working | It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit,,Austria,AT
91,medium,yes,countryside,36 years old,female,yES,26_39,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,None of the above,Only the people who need it most should get something from the state | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit,data administrator,Austria,AT
92,low,yes,urban,34 years old,FeMale,YES,26_39,I know something about it,I would vote for it,‰Û_ gain additional skills,It encourages financial independence and self-responsibility | It creates more equality of opportunity | It increases appreciation for household work and volunteering,Only the people who need it most should get something from the state,field artillery automated tactical data system specialist,Austria,AT
93,high,yes,rural,1989,male,NO,26_39,I know something about it,I would vote against it,A basic income would not affect my work choices,None of the above,Only the people who need it most should get something from the state | It might encourage people to stop working | It is against the principle of linking merit and reward,database design analyst,Austria,AT
94,low,yes,rural,2001,male,NO,14_25,I know something about it,I would probably vote against it,‰Û_ gain additional skills,It creates more equality of opportunity | It reduces bureaucracy and administrative expenses,Foreigners might come to my country and take advantage of the benefit,database security administrator,Austria,AT
95,,no,city,2002,male,NO,14_25,I have never heard of it,I would not vote,None of the above,None of the above,None of the above,,Austria,AT
96,medium,yes,urban,1995,male,NO,14_25,I know something about it,I would vote for it,‰Û_ gain additional skills,"It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering | It increases solidarity, because it is funded by everyone",None of the above,data warehousing engineer,Austria,AT
97,medium,yes,urban,1992,Fem,NO,14_25,I have heard just a little about it,I would probably vote against it,‰Û_ work less,It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state,geographic information systems database administrator gis database administrator,Austria,AT
98,medium,yes,urban,1993,female,NO,juvenile,I have never heard of it,I would vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It is impossible to finance,database manager,Austria,AT
99,low,no,Country,2002,female,nO,14_25,I have heard just a little about it,I would vote for it,‰Û_ gain additional skills,"It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering | It reduces bureaucracy and administrative expenses",It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit,,Austria,AT
100,medium,no,rural,1986,female,NO,26_39,I know something about it,I would not vote,None of the above,None of the above,None of the above,,Austria,AT
101,medium,yes,rural,47 years old,Male,yES,40_65,I understand it fully,I would probably vote for it,‰Û_ work less,It encourages financial independence and self-responsibility,It might encourage people to stop working | It is impossible to finance | It is against the principle of linking merit and reward,geographic information systems data manager gis data manager,Austria,AT
102,low,yes,rural,46 years old,male,yES,40_65,I understand it fully,I would vote for it,A basic income would not affect my work choices,"It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs",Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state | Only the people who need it most should get something from the state,data communications software consultant,Austria,AT
103,,no,urban,1986,female,YES,26_39,I know something about it,I would not vote,‰Û_ spend more time with my family,It encourages financial independence and self-responsibility,It is impossible to finance,,Austria,AT
104,low,yes,Country,39 years old,Male,yES,26_39,I know something about it,I would vote against it,None of the above,None of the above,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | Only the people who need it most should get something from the state,clinical data specialist,Austria,AT
105,high,yes,urban,1992,Male,nO,juvenile,I have heard just a little about it,I would probably vote for it,‰Û_ work as a freelancer,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It creates more equality of opportunity,It might encourage people to stop working | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state,data warehousing engineer,Austria,AT
106,low,no,countryside,52 years old,male,YES,40_65,I have heard just a little about it,I would probably vote against it,None of the above,It increases appreciation for household work and volunteering,It increases dependence on the state | It is impossible to finance | Only the people who need it most should get something from the state,,Austria,AT
107,low,no,rural,1995,Fem,NO,14_25,I have heard just a little about it,I would probably vote for it,‰Û_ gain additional skills,None of the above,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit,,Austria,AT
108,medium,no,Country,35 years old,Male,yES,26_39,I have heard just a little about it,I would vote for it,‰Û_ gain additional skills,It creates more equality of opportunity | It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state | It might encourage people to stop working | It is impossible to finance,,Austria,AT
109,low,yes,urban,1996,female,nO,14_25,I have heard just a little about it,I would probably vote against it,‰Û_ look for a different job,None of the above,It is impossible to finance,naval tactical data systemcombat information center watch officer general,Austria,AT
110,high,yes,Non-Rural,1988,female,NO,26_39,I have heard just a little about it,I would vote for it,‰Û_ spend more time with my family,"It increases solidarity, because it is funded by everyone",It is impossible to finance,data management information technology specialist,Austria,AT
111,,yes,urban,1987,male,NO,26_39,I know something about it,I would probably vote for it,A basic income would not affect my work choices,None of the above,None of the above,database security administrator,Austria,AT
112,high,yes,urban,1989,male,nO,26_39,I understand it fully,I would vote against it,A basic income would not affect my work choices,It increases appreciation for household work and volunteering,It might encourage people to stop working | Only the people who need it most should get something from the state,automatic data processing systems security specialist adp systems security,Austria,AT
